show_id,tipo,titulo,director,elenco,anio,clasificacion,duracion,listado_en,plataforma
s160,Movie,Wallaby Jim of the Islands,Charles Lamont,"George Houston, Ruth Coleman, Douglas Walton, Wilhelm von Brincken, Mamo Clark, Colin Campbell, Syd Saydor",1937,13+,68,"Action, Suspense",amazon
s161,Movie,Wall Street Cowboy,Joseph Kane,"Roy Rogers, George ""Gabby"" Hayes, Raymond Hatton, Ann Baldwin, Pierre Watkin, Craig Reynolds, Louisiana Lou, Ivan Miller, Reginald Barlow",1939,18+,57,Western,amazon
s162,Movie,Walkaway Joe,Tom Wright,"Jeffrey Dean Morgan, David Strathairn, Julian Feder, Julie Ann Emery",2020,16+,89,"Action, Drama",amazon
s165,Movie,Waiting on Mary,Corey Horton,"Brian Shea, Emilee Dupre', Ned Averill-Snell, Bob Devin Jones, Bonnie Agan, Jim Wicker, Matt Lunsford",2016,18+,77,"Comedy, Drama",amazon
s166,Movie,Waiting for You,Charles Garrad,"Colin Morgan, Fanny Ardant, Abdelkrim Bahloul, Clare Holman",2018,13+,92,"Drama, Romance, Suspense",amazon
s167,Movie,Waiting for Lightning,Jacob Rosenberg,"Danny Way, Tony Hawk, Rob Dyrdek, Travis Pastrana, Laird John Hamilton, Paul Rodriguez Jr.",2012,PG-13,96,"Documentary, Sports",amazon
s168,Movie,Waiting for Anya,Ben Cookson,"Noah Schnapp, Thomas Kretschmann, Frederick Schmidt, Anjelica Huston, Jean Reno",2020,13+,109,"Action, Drama",amazon
s169,Movie,Wait For Your Laugh,Jason Wise,"Rose Marie, Carl Reiner, Dick Van Dyke, Dan Harmon",2018,13+,85,"Arts, Entertainment, and Culture, Documentary",amazon
s173,Movie,Voyage Into Space,Minoru Yamada,"Akio Ito, Kaneko Mitsundbu",1970,13+,98,Science Fiction,amazon
s174,Movie,Vows of Deception,Bill Norton,"Cheryl Ladd, Nick Manusco, Nancy Cartwright, Vyto Ruginis, Mike Farrell, Cady Huffman",1996,PG-13,94,"Drama, Suspense",amazon
s175,Movie,Volcano: Fire on the Mountain,Graeme Campbell,"Dan Cortese, Cynthia Gibb, Brian Kerwin",1997,16+,88,"Action, Science Fiction, Suspense",amazon
s176,Movie,Voice From the Stone,Eric D. Howell,"Emilia Clarke, Marton Csokas, Caterina Murino, Remo Girone",2017,R,90,"Drama, Suspense",amazon
s179,Movie,Viswasam,Siva,"Ajith Kumar, Nayanthara",2019,13+,151,"Action, Drama, International",amazon
s180,Movie,Visit to a Chief's Son,Lamont Johnson,"Richard Mulligan, Johnny Sekka",1974,G,92,Drama,amazon
s181,Movie,Virus,Aashiq Abu,"Revathy, Kunchako Boban, Parvathy Thiruvoth",2019,ALL,149,"Drama, Science Fiction, Suspense",amazon
s182,Movie,Virginia,Dustin Lance Black,"Jennifer Connelly, Emma Roberts, Ed Harris, Carrie Preston",2012,R,111,Drama,amazon
s183,Movie,Violets Are Blue,Jack Fisk,"Sissy Spacek, Kevin Kline, Bonnie Bedelia",1986,PG-13,86,"Drama, Romance",amazon
s185,Movie,Vinci Da,Srijit Mukherjee,"Rudranil Ghosh, Ritwick Chakraborty, Sohini Sarkar, Anirban Bhattacharya, Riddhi Sen",2019,16+,113,"International, Suspense",amazon
s190,Movie,Vicky Velingkar,Saurabh Varma,"Sonalee Kulkarni, Spruha Joshi, Sangram Samel, Kettan Singh, Gaurav More, Rama Joshi, Vinita karat, Juhi Pawar",2019,13+,125,"International, Suspense",amazon
s193,Movie,Venky Mama,KS Ravindra(Bobby),"Venkatesh, Chaitanya, Payal Rajput, Raashi Khanna",2019,13+,141,"Action, Comedy, Drama",amazon
s194,Movie,Vellai Pookal,Vivek Elangovan,"Vivek, Charlie, Dev, Pooja Devariya",2019,13+,121,"International, Suspense",amazon
s197,Movie,Vehicle Songs by Little Baby Bum,Cannis Holder,"Grace Tamayo, Erin Webbs",2019,ALL,48,Kids,amazon
s200,Movie,Valley Uprising,"Pete Mortimer, Nick Rosen",Peter Sarsgaard,2014,13+,99,"Action, Documentary, Sports",amazon
s201,Movie,Valentine Road,Marta Cunningham,Dawn Boldrin,2013,16+,88,Documentary,amazon
s203,Movie,V1 Murder Case (Telugu),Pavel Navageethan,"Ram Arun Castro, Vishnupriya Pillai, Gayathri Raja, Lijeesh, Mime Gopi",2021,13+,111,"Action, Suspense",amazon
s204,Movie,V (Tamil),Mohana Krishna Indraganti,"Nani, Sudheer Babu, Nivetha Thomas, Aditi Rao Hydari",2020,16+,140,"Action, Drama, Suspense",amazon
s205,Movie,V (Malayalam),Mohana Krishna Indraganti,"Nani, Sudheer Babu, Nivetha Thomas, Aditi Rao Hydari",2020,16+,140,"Action, Drama, Suspense",amazon
s206,Movie,V (Kannada),Mohana Krishna Indraganti,"Nani, Sudheer Babu, Nivetha Thomas, Aditi Rao Hydari",2020,16+,140,"Action, Drama, Suspense",amazon
s214,Movie,Up in Arms,Elliot Nugent,"Danny Kaye, Dana Andrews, Dinah Shore",1944,13+,106,"Arts, Entertainment, and Culture, Comedy",amazon
s219,Movie,Underworld Scandal,William C. Thomas,"Hillary Brooke, Stanley Clements, Philip Reed, Darryl Hickman, Carl ""Alfalfa"" Schweitzer, Roland Dupree, Tommy Bond, John Phillips, Vince Barnett, Joe Allen Jr., Charles Arnt",1948,PG,60,"Drama, Suspense",amazon
s220,Movie,Underwater Tunes with Little Baby Bum,Cannis Holder,"Grace Tamayo, Erin Webbs",2019,ALL,27,Kids,amazon
s221,Movie,Underplayed,Stacey Lee,"TokiMonsta, Alison Wonderland, Nervo, Rezz, Nightwave, Sherelle, Tygapaw",2021,13+,90,Documentary,amazon
s222,Movie,Underdogs,Doug Dearth,"D. B. Sweeney, Logan Huffman, Charlie Carver, Natalie Imbruglia",2013,PG,104,Sports,amazon
s223,Movie,Under Western Stars,Joseph Kane,"Roy Rogers, Smiley Burnette, Carol Hughes, Maple City Four, Guy Usher, Tom Chatterton, Kenneth Harlan, Alden 'Stephen' Chase, Brandon Beach, Earl Dwire, Jean Fowler, Dora Clement, Dick Elliott, Burr Caruth, Slim Whitaker, Jack Rockwell, Frankie Marvin, Roy Bucko, Fred Burns, Bob Card, Tommy Coats, Tex Cooper, Art Dillard, Curley Dresden, Herman Hack, Henry Hall, Earle Hodgins, Jack Ingram, Art Janes, Jane Keckley, Jack Kirk, Merrill McCormick, Fritz Meissner, George Montgomery, Milburn Morante, George Morrell, Jack O'Shea, Pat Petterson, Al Rice, Duke Taylor, Trigger, Bill Wolfe",1938,13+,60,Western,amazon
s225,Movie,Under the Boardwalk: The Monopoly Story,Kevin Tostado,Zachary Levi,2011,G,88,"Documentary, Special Interest",amazon
s226,Movie,Under Nevada Skies,Frank McDonald,"Roy Rogers, George ""Gabby"" Hayes, Dale Evans, Douglas Dumbrille, Leyland Hodgson, Tristram Coffin, Rudolph Anders, Iron Eyes Cody, Bob Noland and the Sons of the Pioneers",1946,13+,69,Western,amazon
s228,Movie,Uncle Tom,Justin Malone,"Candace Owens, Larry Elder, Chad Jackson, Brandon Tatum, Rev. Jesse Lee Peterson",2020,18+,107,Documentary,amazon
s229,Movie,Uncle Joe Shannon,Joseph C. Hanwright,"Doug McKeon, Burt Young",1978,13+,108,Drama,amazon
s232,Movie,Uncaged,Dick Maas,"Sophie van Winden, Abbey Hoes, Mark Frost, Julian Looman",2020,18+,108,Horror,amazon
s234,Movie,Ultimate Fight,Ernie Reyes Jr.,"Corin Nemec, Ernie Reyes Jr., Daniella Evangelista",2004,R,91,"Action, Drama",amazon
s235,Movie,Ujda Chaman (4K UHD),Abhishek Pathak,"Sunny Singh, Maanvi Gagroo, Karishma Sharma, Saurabh Shukla, Gagan Arora, Aishwarya Sakhuja",2019,NR/Sin clasificacion,115,"Comedy, International",amazon
s236,Movie,UFOTV Presents: The Mystery of the Sphinx - New Scientific Evidence - Expanded Directors Cut,Bill Cote,JohnAnthonyWest.Dr.RobertM.Schoch,2016,ALL,93,Special Interest,amazon
s237,Movie,UFOTV Presents The Occult Extraterrestrial War - America's Secret Space Fleet,Jim Nichols,Jim Nichols,2017,ALL,38,"Documentary, Science Fiction",amazon
s238,Movie,UFOTV Presents The Day Before Disclosure,Terje Toftenes,"Dr Edgar Mitchell, Dr. Steven Greer, MD, Richard Dolan, Robert Hastings, Stephen Bassett, Nick Pope, Jim Mars, Robert Dean, Peter Robins, Wendelle Stevens, Linda Moulton Howe, Stanton Friedman, Bud Hopkins, Dr. David Jacobs, Bruce Maccabee, Dr. Michael Salla, And Many More",2017,13+,104,Special Interest,amazon
s239,Movie,UFOTV Presence: I Know What I Saw,James Fox,Peter Coyote,2015,13+,92,Special Interest,amazon
