show_id,gen1,gen2,gen3,gen4,gen5
s1090,Comedy, Fantasy,,,
s1091,Animation, Buddy, Comedy,,
s1092,Animation, Buddy, Comedy,,
s1093,Drama, Sports,,,
s1094,Comedy, Fantasy,,,
s1095,Animation, Comedy, Family,,
s1096,Animation, Comedy, Family,,
s1097,Action-Adventure, Animation, Family,,
s1099,Action-Adventure, Comedy, Family,,
s1100,Action-Adventure, Comedy, Family,,
s1101,Comedy, Science Fiction,,,
s1103,Action-Adventure, Mystery, Thriller,,
s1104,Coming of Age, Drama, Family,,
s1105,Coming of Age, Drama, Family,,
s1106,Comedy, Family, Fantasy,,
s1107,Coming of Age, Fantasy,,,
s1108,Animation, Comedy, Family,,
s1109,Animals & Nature, Drama, Family,,
s1110,Action-Adventure, Animation, Musical,,
s1111,Comedy, Family, Fantasy,,
s1112,Drama, Fantasy,,,
s1113,Animation, Comedy, Family,,
s1114,Action-Adventure, Animals & Nature, Comedy,,
s1117,Documentary,,,,
s1118,Animation, Comedy, Family,,
s1119,Animation, Comedy, Family,,
s1120,Animals & Nature, Documentary, Family,,
s1121,Action-Adventure, Family, Fantasy,,
s1122,Action-Adventure, Animation, Family,,
s1123,Action-Adventure, Animation, Family,,
s1124,Comedy, Coming of Age,,,
s1127,Action-Adventure, Animation, Comedy,,
s1128,Action-Adventure, Animation, Comedy,,
s1129,Action-Adventure, Animation, Kids,,
s1130,Animation, Family, Fantasy,,
s1131,Animals & Nature, Animation, Family,,
s1132,Action-Adventure, Fantasy,,,
s1133,Action-Adventure, Fantasy,,,
s1134,Action-Adventure, Fantasy,,,
s1136,Comedy, Coming of Age, Music,,
s1137,Animals & Nature, Documentary, Family,,
s1138,Animation, Comedy, Family,,
s1139,Animation, Family, Kids,,
s1140,Animation, Comedy, Family,,
s1141,Animation, Comedy, Family,,
s1142,Action-Adventure, Animation, Family,,
s1143,Action-Adventure, Animation, Family,,
s1144,Coming of Age, Drama, Family,,
s1145,Action-Adventure, Animation, Kids,,
s1146,Action-Adventure, Animation, Kids,,
s1147,Animation, Family, Kids,,
s1148,Buddy, Comedy, Coming of Age,,
s1149,Animation, Comedy, Family,,
s1151,Biographical, Drama, Sports,,
s1152,Comedy, Coming of Age,,,
s1153,Animation, Comedy, Family,,
s1154,Comedy, Coming of Age, Drama,,
s1155,Animals & Nature, Coming of Age, Family,,
s1156,Animation, Comedy, Family,,
s1157,Animation, Comedy, Family,,
s1158,Animation, Comedy, Family,,
s1159,Animation, Drama, Family,,
s1160,Drama, Historical, Sports,,
s1161,Animation, Comedy, Family,,
s1162,Action-Adventure, Family, Science Fiction,,
s1163,Family, Fantasy,,,
s1164,Action-Adventure, Family, Fantasy,,
s1165,Action-Adventure, Comedy, Family,,
s1166,Buddy, Family, Sports,,
s1167,Animation, Comedy, Coming of Age,,
s1168,Coming of Age, Drama,,,
s1169,Action-Adventure, Animation, Family,,
s1171,Action-Adventure, Science Fiction,,,
s1172,Documentary, Family,,,
s1173,Biographical, Drama, Historical,,
s1174,Animals & Nature, Documentary, Family,,
s1175,Animation, Comedy, Family,,
s1176,Animals & Nature, Comedy, Family,,
s1177,Action-Adventure, Animation, Family,,
s1178,Fantasy, Musical,,,
s1179,Animation, Family, Fantasy,,
s1180,Biographical, Drama, Historical,,
s1181,Documentary, Family,,,
s1182,Action-Adventure, Animals & Nature, Documentary,,
s1183,Animation, Fantasy, Kids,,
s1184,Animals & Nature, Biographical, Drama,,
s1185,Documentary, Historical,,,
s1186,Animals & Nature, Documentary, Family,,
s1187,Animals & Nature, Documentary,,,
s1189,Action-Adventure, Animals & Nature, Documentary,,
s1190,Comedy, Coming of Age, Music,,
s1191,Action-Adventure, Coming of Age, Family,,
s1193,Action-Adventure, Animation, Comedy,,
s1194,Comedy, Crime, Family,,
s1195,Comedy, Family, Music,,
s1196,Action-Adventure, Science Fiction,,,
s1197,Animation, Family, Fantasy,,
s1198,Comedy, Coming of Age, Drama,,
s1199,Animation, Buddy, Family,,
s1200,Animation, Family, Fantasy,,
s1201,Comedy, Family, Sports,,
s1202,Comedy, Family, Fantasy,,
s1204,Animation, Comedy, Family,,
s1212,Action-Adventure, Science Fiction,,,
s1213,Action-Adventure, Science Fiction,,,
s1215,Action-Adventure, Science Fiction,,,
s1216,Action-Adventure, Science Fiction,,,
s1217,Action-Adventure, Science Fiction,,,
s1218,Action-Adventure, Science Fiction,,,
s1219,Action-Adventure, Science Fiction,,,
s1220,Comedy, Coming of Age, Music,,
s1221,Animation, Family, Kids,,
s1222,Comedy, Family, Science Fiction,,
s1223,Animation, Comedy, Family,,
s1224,Documentary,,,,
s1225,Comedy, Coming of Age, Music,,
s1226,Action-Adventure, Animals & Nature, Family,,
s1227,Action-Adventure, Comedy, Family,,
