show_id,plataforma,director1,director2,director3,director4,director5,director6,director7,director8,director9,director10,director11,director12,director13,director14,director15,director16,director17,codireccion
s200,amazon,Pete Mortimer, Nick Rosen,,,,,,,,,,,,,,,,1
s201,amazon,Marta Cunningham,,,,,,,,,,,,,,,,,0
s203,amazon,Pavel Navageethan,,,,,,,,,,,,,,,,,0
s204,amazon,Mohana Krishna Indraganti,,,,,,,,,,,,,,,,,0
s205,amazon,Mohana Krishna Indraganti,,,,,,,,,,,,,,,,,0
s206,amazon,Mohana Krishna Indraganti,,,,,,,,,,,,,,,,,0
s214,amazon,Elliot Nugent,,,,,,,,,,,,,,,,,0
s219,amazon,William C. Thomas,,,,,,,,,,,,,,,,,0
s220,amazon,Cannis Holder,,,,,,,,,,,,,,,,,0
s221,amazon,Stacey Lee,,,,,,,,,,,,,,,,,0
s222,amazon,Doug Dearth,,,,,,,,,,,,,,,,,0
s223,amazon,Joseph Kane,,,,,,,,,,,,,,,,,0
s225,amazon,Kevin Tostado,,,,,,,,,,,,,,,,,0
s226,amazon,Frank McDonald,,,,,,,,,,,,,,,,,0
s228,amazon,Justin Malone,,,,,,,,,,,,,,,,,0
s229,amazon,Joseph C. Hanwright,,,,,,,,,,,,,,,,,0
s232,amazon,Dick Maas,,,,,,,,,,,,,,,,,0
s234,amazon,Ernie Reyes Jr,,,,,,,,,,,,,,,,,0
s235,amazon,Abhishek Pathak,,,,,,,,,,,,,,,,,0
s236,amazon,Bill Cote,,,,,,,,,,,,,,,,,0
s237,amazon,Jim Nichols,,,,,,,,,,,,,,,,,0
s238,amazon,Terje Toftenes,,,,,,,,,,,,,,,,,0
s239,amazon,James Fox,,,,,,,,,,,,,,,,,0
s240,amazon,David Cherniack,,,,,,,,,,,,,,,,,0
s244,amazon,Malcolm St. Clair,,,,,,,,,,,,,,,,,0
s246,amazon,Keva Rosenfeld,,,,,,,,,,,,,,,,,0
s247,amazon,Dante J. Pugliese,,,,,,,,,,,,,,,,,0
s250,amazon,AUSTIN NWAOLIE,,,,,,,,,,,,,,,,,0
s253,amazon,Bill Bixby, Charles Braverman, Jackie Cooper,,,,,,,,,,,,,,,1
s255,amazon,Laugh Factory,,,,,,,,,,,,,,,,,0
s257,amazon,Angus Benfield,,,,,,,,,,,,,,,,,0
s258,amazon,Adán Medrano,,,,,,,,,,,,,,,,,0
s259,amazon,Herbert Ross,,,,,,,,,,,,,,,,,0
s262,amazon,Ben Stiller,,,,,,,,,,,,,,,,,0
s263,amazon,Sylvain White,,,,,,,,,,,,,,,,,0
s264,amazon,Sanket Prakash Pavse,,,,,,,,,,,,,,,,,0
s269,amazon,Greg Kwedar,,,,,,,,,,,,,,,,,0
s271,amazon,Gabriel Silverman,,,,,,,,,,,,,,,,,0
s272,amazon,Antonio Negret,,,,,,,,,,,,,,,,,0
s274,amazon,Karzan Kader,,,,,,,,,,,,,,,,,0
s275,amazon,Jeremy Teicher, Alexi Pappas,,,,,,,,,,,,,,,,1
s276,amazon,Craig Ross Jr,,,,,,,,,,,,,,,,,0
s277,amazon,Rehmat Rayatt, Leva Kwestany,,,,,,,,,,,,,,,,1
s280,amazon,Geordie Day,,,,,,,,,,,,,,,,,0
s281,amazon,Vikram Sirikonda,,,,,,,,,,,,,,,,,0
s284,amazon,Maria Ripoll,,,,,,,,,,,,,,,,,0
s285,amazon,Bert I. Gordon,,,,,,,,,,,,,,,,,0
s295,amazon,Edward Sloman,,,,,,,,,,,,,,,,,0
s296,amazon,Tone Bell,,,,,,,,,,,,,,,,,0
s297,amazon,Stuart Beattie,,,,,,,,,,,,,,,,,0
s300,amazon,Manny Rodriguez,,,,,,,,,,,,,,,,,0
s303,amazon,Jo Kastner,,,,,,,,,,,,,,,,,0
s305,amazon,Rob Zombie,,,,,,,,,,,,,,,,,0
s308,amazon,Tom Green,,,,,,,,,,,,,,,,,0
s315,amazon,Roberto Ángel Salcedo,,,,,,,,,,,,,,,,,0
s319,amazon,Manu Boyer,,,,,,,,,,,,,,,,,0
s321,amazon,Ra Chezhiyan,,,,,,,,,,,,,,,,,0
s322,amazon,Alfred Hitchcock,,,,,,,,,,,,,,,,,0
s323,amazon,Jonathan Miller,,,,,,,,,,,,,,,,,0
s325,amazon,Tim Bell,,,,,,,,,,,,,,,,,0
s326,amazon,Fro Rojas,,,,,,,,,,,,,,,,,0
s334,amazon,Sam Newfield,,,,,,,,,,,,,,,,,0
s335,amazon,Frank McDonald,,,,,,,,,,,,,,,,,0
s337,amazon,Michael Petroni,,,,,,,,,,,,,,,,,0
s339,amazon,Ali Abbas Zafar,,,,,,,,,,,,,,,,,0
s340,amazon,Aubrey Scotto,,,,,,,,,,,,,,,,,0
s341,amazon,Albert Pyun,,,,,,,,,,,,,,,,,0
s342,amazon,Kevin Tenney,,,,,,,,,,,,,,,,,0
s347,amazon,Richard Rush,,,,,,,,,,,,,,,,,0
s348,amazon,Vijay Krishna Acharya,,,,,,,,,,,,,,,,,0
s349,amazon,Rajesh Mohanan Nair,,,,,,,,,,,,,,,,,0
s351,amazon,Martha Coolidge,,,,,,,,,,,,,,,,,0
s352,amazon,Charles Walters,,,,,,,,,,,,,,,,,0
s353,amazon,Robert Florey,,,,,,,,,,,,,,,,,0
s354,amazon,Gordon Parks Jr,,,,,,,,,,,,,,,,,0
s355,amazon,Kyle Clark,,,,,,,,,,,,,,,,,0
s365,amazon,Lance Mungia,,,,,,,,,,,,,,,,,0
s366,amazon,Gil Junger,,,,,,,,,,,,,,,,,0
s367,amazon,Gil Junger,,,,,,,,,,,,,,,,,0
s368,amazon,Susanna Bier,,,,,,,,,,,,,,,,,0
s369,amazon,Erle C. Kenton,,,,,,,,,,,,,,,,,0
s370,amazon,William Wyler,,,,,,,,,,,,,,,,,0
s373,amazon,Isao Yukisada,,,,,,,,,,,,,,,,,0
s374,amazon,Ralph Ziman,,,,,,,,,,,,,,,,,0
s375,amazon,Aidan Belizaire,,,,,,,,,,,,,,,,,0
s376,amazon,Ted Tetzlaff,,,,,,,,,,,,,,,,,0
s377,amazon,Alexandre Moors,,,,,,,,,,,,,,,,,0
s384,amazon,Russell Holt,,,,,,,,,,,,,,,,,0
s385,amazon,Neko Sparks,,,,,,,,,,,,,,,,,0
s386,amazon,Angelo J. Guglielmo Jr,,,,,,,,,,,,,,,,,0
s387,amazon,George Archainbaud,,,,,,,,,,,,,,,,,0
s388,amazon,Tom Harper,,,,,,,,,,,,,,,,,0
s391,amazon,Stephen Cone,,,,,,,,,,,,,,,,,0
s392,amazon,David Mamet,,,,,,,,,,,,,,,,,0
s395,amazon,Robin Hardy,,,,,,,,,,,,,,,,,0
s397,amazon,Martin R Smith,,,,,,,,,,,,,,,,,0
s398,amazon,Robert Child,,,,,,,,,,,,,,,,,0
s399,amazon,Robert Luketic,,,,,,,,,,,,,,,,,0
s400,amazon,King Vidor,,,,,,,,,,,,,,,,,0
s403,amazon,Andrew Patterson,,,,,,,,,,,,,,,,,0
s406,amazon,William Nigh,,,,,,,,,,,,,,,,,0
s407,amazon,Loki Mulholland,,,,,,,,,,,,,,,,,0
s409,amazon,Joanne Hock,,,,,,,,,,,,,,,,,0
s413,amazon,Terry L. Noss, Richard Rich,,,,,,,,,,,,,,,,1
s414,amazon,Stephan Schultze,,,,,,,,,,,,,,,,,0
s415,amazon,Martin Krejcí,,,,,,,,,,,,,,,,,0
s425,amazon,Roger Corman,,,,,,,,,,,,,,,,,0
s426,amazon,Pascal Laugier,,,,,,,,,,,,,,,,,0
s427,amazon,Wei-Hao Cheng,,,,,,,,,,,,,,,,,0
s428,amazon,Jordan Leondopoulos, John C. Broderick, John Shade,,,,,,,,,,,,,,,1
s429,amazon,Swami Tadatmananda,,,,,,,,,,,,,,,,,0
s431,amazon,Matt Servo, Troy McDonald, Laurel Dalgleish, Brett Jubinville,,,,,,,,,,,,,,1
s432,amazon,Eric Bilitch,,,,,,,,,,,,,,,,,0
s433,amazon,Tony Waters,,,,,,,,,,,,,,,,,0
s434,amazon,Robin Parsons,,,,,,,,,,,,,,,,,0
s436,amazon,James Melkonian,,,,,,,,,,,,,,,,,0
s438,amazon,David Jackson,,,,,,,,,,,,,,,,,0
s439,amazon,Evan Oppenheimer,,,,,,,,,,,,,,,,,0
s440,amazon,André Pellenz,,,,,,,,,,,,,,,,,0
s441,amazon,B. Harrison Smith,,,,,,,,,,,,,,,,,0
s442,amazon,Joanna Hogg,,,,,,,,,,,,,,,,,0
s444,amazon,Henry King,,,,,,,,,,,,,,,,,0
s445,amazon,Aleksey Tsitsilin,,,,,,,,,,,,,,,,,0
s449,amazon,Jay Chapman,,,,,,,,,,,,,,,,,0
s452,amazon,Jean van de Velde,,,,,,,,,,,,,,,,,0
s453,amazon,Robin Pront,,,,,,,,,,,,,,,,,0
s454,amazon,Shawn Cunningham,,,,,,,,,,,,,,,,,0
s456,amazon,John Sayles,,,,,,,,,,,,,,,,,0
s457,amazon,Norman Z. McLeod,,,,,,,,,,,,,,,,,0
s459,amazon,Elliot Weaver, Zander Weaver,,,,,,,,,,,,,,,,1
s460,amazon,Carter Smith,,,,,,,,,,,,,,,,,0
s464,amazon,Galt Neiderhoffer,,,,,,,,,,,,,,,,,0
s469,amazon,Paul Schneider,,,,,,,,,,,,,,,,,0
s472,amazon,Mario Andreacchio,,,,,,,,,,,,,,,,,0
s473,amazon,Henry Hathaway,,,,,,,,,,,,,,,,,0
s475,amazon,Howard Higgin,,,,,,,,,,,,,,,,,0
s477,amazon,Stephen Frears,,,,,,,,,,,,,,,,,0
s479,amazon,Yen-Ping Chu,,,,,,,,,,,,,,,,,0
s482,amazon,Neena Nejad and Xoel Pamos,,,,,,,,,,,,,,,,,0
s483,amazon,Jimmy Henderson,,,,,,,,,,,,,,,,,0
s486,amazon,Rupert Julian,,,,,,,,,,,,,,,,,0
s488,amazon,Jefferson Moore, Shane Sooter,,,,,,,,,,,,,,,,1
s490,amazon,Simon Egan,,,,,,,,,,,,,,,,,0
s492,amazon,Harold Trompetero,,,,,,,,,,,,,,,,,0
s493,amazon,Alan J. Pakula,,,,,,,,,,,,,,,,,0
s496,amazon,Howard Kress, Harold F. Kress,,,,,,,,,,,,,,,,1
s499,amazon,George McCowan,,,,,,,,,,,,,,,,,0
s500,amazon,Timothy Woodward Jr,,,,,,,,,,,,,,,,,0
s501,amazon,Arther HIller,,,,,,,,,,,,,,,,,0
s505,amazon,Gene Saks,,,,,,,,,,,,,,,,,0
s506,amazon,Jerry Lewis,,,,,,,,,,,,,,,,,0
s509,amazon,Lewis Milestone,,,,,,,,,,,,,,,,,0
s511,amazon,Matt Jones, Dave Hill,,,,,,,,,,,,,,,,1
s512,amazon,Christian Sesma,,,,,,,,,,,,,,,,,0
s518,amazon,Edward A. Kull,,,,,,,,,,,,,,,,,0
s523,amazon,Bart Freundlich,,,,,,,,,,,,,,,,,0
s524,amazon,Anna Sofaer,,,,,,,,,,,,,,,,,0
s529,amazon,Seth Breedlove,,,,,,,,,,,,,,,,,0
s531,amazon,Fred Dekker,,,,,,,,,,,,,,,,,0
s532,amazon,Chris Cofer,,,,,,,,,,,,,,,,,0
s533,amazon,Brett Simmons,,,,,,,,,,,,,,,,,0
s534,amazon,Manuel Sicilia, Raul Garcia,,,,,,,,,,,,,,,,1
s535,amazon,Albert Herman,,,,,,,,,,,,,,,,,0
s537,amazon,Stanislav Sokolov, Derek W. Hayes,,,,,,,,,,,,,,,,1
s544,amazon,Marcus Adams,,,,,,,,,,,,,,,,,0
s545,amazon,David Guy Levy,,,,,,,,,,,,,,,,,0
s548,amazon,Robert N. Bradbury,,,,,,,,,,,,,,,,,0
s549,amazon,Joseph Kane,,,,,,,,,,,,,,,,,0
s550,amazon,Shinpei Miyashita,,,,,,,,,,,,,,,,,0
s552,amazon,Maury Thompson,,,,,,,,,,,,,,,,,0
s553,amazon,Maury Thompson,,,,,,,,,,,,,,,,,0
s556,amazon,Richard Pearce,,,,,,,,,,,,,,,,,0
s557,amazon,Lynn Roth,,,,,,,,,,,,,,,,,0
s558,amazon,Mark Osborne,,,,,,,,,,,,,,,,,0
s560,amazon,William Wyler,,,,,,,,,,,,,,,,,0
s562,amazon,William Wyler,,,,,,,,,,,,,,,,,0
s565,amazon,Benjamin May,,,,,,,,,,,,,,,,,0
s566,amazon,Andrew Jones,,,,,,,,,,,,,,,,,0
s567,amazon,Sean Patrick O'Reilly,,,,,,,,,,,,,,,,,0
s569,amazon,Piotr Szkopiak,,,,,,,,,,,,,,,,,0
s571,amazon,Todd Nilssen,,,,,,,,,,,,,,,,,0
s572,amazon,Anthony C. Ferrante,,,,,,,,,,,,,,,,,0
s576,amazon,Samuel Bischoff,,,,,,,,,,,,,,,,,0
s577,amazon,Isaac Halasima,,,,,,,,,,,,,,,,,0
s579,amazon,Joe Talbot,,,,,,,,,,,,,,,,,0
s580,amazon,Logan Bush,,,,,,,,,,,,,,,,,0
s581,amazon,Orson Welles,,,,,,,,,,,,,,,,,0
s582,amazon,Jerry Lewis,,,,,,,,,,,,,,,,,0
s583,amazon,James Marsh,,,,,,,,,,,,,,,,,0
s584,amazon,Lone Scherfig,,,,,,,,,,,,,,,,,0
s586,amazon,Dan Krauss,,,,,,,,,,,,,,,,,0
s587,amazon,S. Roy Luby,,,,,,,,,,,,,,,,,0
s588,amazon,Chang Cheh,,,,,,,,,,,,,,,,,0
s589,amazon,Norman Z. McLeod,,,,,,,,,,,,,,,,,0
s592,amazon,Daniel Barber,,,,,,,,,,,,,,,,,0
s595,amazon,Elmer Clifton,,,,,,,,,,,,,,,,,0
s596,amazon,Derrick Borte,,,,,,,,,,,,,,,,,0
s597,amazon,Kenny Golde,,,,,,,,,,,,,,,,,0
s598,amazon,Richard Fleischer,,,,,,,,,,,,,,,,,0
s599,amazon,Peter Collinson,,,,,,,,,,,,,,,,,0
s601,amazon,Allan Dwan,,,,,,,,,,,,,,,,,0
s602,amazon,Derek Richards, Brad O'Connor,,,,,,,,,,,,,,,,1
s604,amazon,Andrea Di Stefano,,,,,,,,,,,,,,,,,0
s607,amazon,Mary Lambert,,,,,,,,,,,,,,,,,0
s608,amazon,David Alvarado, Jason Sussberg,,,,,,,,,,,,,,,,1
s610,amazon,Matthew Wolfe,,,,,,,,,,,,,,,,,0
s613,amazon,Bornila Chatterjee,,,,,,,,,,,,,,,,,0
s615,amazon,Iris Shim,,,,,,,,,,,,,,,,,0
s618,amazon,Tom Putnam,,,,,,,,,,,,,,,,,0
s620,amazon,Jeremy Lutter,,,,,,,,,,,,,,,,,0
s624,amazon,Ted Hallock,,,,,,,,,,,,,,,,,0
s625,amazon,Brett Haley,,,,,,,,,,,,,,,,,0
s628,amazon,Daniel Farrands,,,,,,,,,,,,,,,,,0
s629,amazon,Sheldon Lettich,,,,,,,,,,,,,,,,,0
s631,amazon,Paul Van Carter,,,,,,,,,,,,,,,,,0
s633,amazon,Steven Luke,,,,,,,,,,,,,,,,,0
s634,amazon,Arhtur Lubin, Arthur Lubin,,,,,,,,,,,,,,,,1
s639,amazon,David Batty,,,,,,,,,,,,,,,,,0
s640,amazon,Michael Palmieri, Donal Mosher,,,,,,,,,,,,,,,,1
s641,amazon,Chet Brewster,,,,,,,,,,,,,,,,,0
s643,amazon,David Yuzuk,,,,,,,,,,,,,,,,,0
s644,amazon,Johannes Nyholm,,,,,,,,,,,,,,,,,0
s647,amazon,Rick Beyer,,,,,,,,,,,,,,,,,0
s648,amazon,William Witney,,,,,,,,,,,,,,,,,0
s650,amazon,Karel Reisz,,,,,,,,,,,,,,,,,0
s651,amazon,Martin Ritt,,,,,,,,,,,,,,,,,0
s655,amazon,Greydon Clark,,,,,,,,,,,,,,,,,0
s657,amazon,David Sington,,,,,,,,,,,,,,,,,0
s659,amazon,Kevin Knoblock,,,,,,,,,,,,,,,,,0
s662,amazon,George Waggner,,,,,,,,,,,,,,,,,0
s666,amazon,William Nigh,,,,,,,,,,,,,,,,,0
s667,amazon,Lulu Wang,,,,,,,,,,,,,,,,,0
s668,amazon,D.C. Hamilton,,,,,,,,,,,,,,,,,0
s669,amazon,William Witney,,,,,,,,,,,,,,,,,0
s674,amazon,Dane Wilson,,,,,,,,,,,,,,,,,0
s675,amazon,Jeffrey Schwarz,,,,,,,,,,,,,,,,,0
s676,amazon,Ken Scott,,,,,,,,,,,,,,,,,0
s681,amazon,Bruce Brown,,,,,,,,,,,,,,,,,0
s684,amazon,David Lynch,,,,,,,,,,,,,,,,,0
s685,amazon,Richard Friedenberg,,,,,,,,,,,,,,,,,0
s686,amazon,Clarence Brown,,,,,,,,,,,,,,,,,0
s687,amazon,Peter Flynn,,,,,,,,,,,,,,,,,0
s689,amazon,Mario Andreacchio,,,,,,,,,,,,,,,,,0
s690,amazon,Tony Randel,,,,,,,,,,,,,,,,,0
s691,amazon,Aziz Jindani,,,,,,,,,,,,,,,,,0
s693,amazon,Billy Senese,,,,,,,,,,,,,,,,,0
s694,amazon,Michael McCaffrey,,,,,,,,,,,,,,,,,0
s695,amazon,Michael McCaffrey,,,,,,,,,,,,,,,,,0
s696,amazon,Albert Herman,,,,,,,,,,,,,,,,,0
s698,amazon,Dan Bush,,,,,,,,,,,,,,,,,0
s701,amazon,Andrew Jones,,,,,,,,,,,,,,,,,0
s703,amazon,Matthew Currie Holmes,,,,,,,,,,,,,,,,,0
s704,amazon,M.A. Taylor,,,,,,,,,,,,,,,,,0
s705,amazon,Freddie Francis,,,,,,,,,,,,,,,,,0
s706,amazon,Joseph Kane,,,,,,,,,,,,,,,,,0
s707,amazon,H.C. Potter, Stuart Heisler, William Wyler,,,,,,,,,,,,,,,1
s708,amazon,Brian Jun,,,,,,,,,,,,,,,,,0
s709,amazon,Melvin Frank, Norman Panama,,,,,,,,,,,,,,,,1
s710,amazon,Bernard Vorhaus,,,,,,,,,,,,,,,,,0
s711,amazon,David Greene,,,,,,,,,,,,,,,,,0
s712,amazon,Timothy A. Smith,,,,,,,,,,,,,,,,,0
s713,amazon,Ron Scalpello,,,,,,,,,,,,,,,,,0
s714,amazon,Lewin Webb,,,,,,,,,,,,,,,,,0
s715,amazon,Joel Oliansky,,,,,,,,,,,,,,,,,0
s716,amazon,Marcus Dunstan,,,,,,,,,,,,,,,,,0
s717,amazon,Antony Smith,,,,,,,,,,,,,,,,,0
s718,amazon,Terry Ingram,,,,,,,,,,,,,,,,,0
s720,amazon,John Stephenson,,,,,,,,,,,,,,,,,0
s724,amazon,John Sturges,,,,,,,,,,,,,,,,,0
s725,amazon,Brett Jubinville, Laurel Dalgleish,,,,,,,,,,,,,,,,1
s726,amazon,Aaron Cadieux, Manny Famolare,,,,,,,,,,,,,,,,1
s727,amazon,Mark Robson,,,,,,,,,,,,,,,,,0
s728,amazon,Seth Breedlove,,,,,,,,,,,,,,,,,0
s729,amazon,Mario Ribero Ferreira,,,,,,,,,,,,,,,,,0
s730,amazon,John N. Smith,,,,,,,,,,,,,,,,,0
s737,amazon,Roy Battersby,,,,,,,,,,,,,,,,,0
s738,amazon,Henry Koster,,,,,,,,,,,,,,,,,0
s741,amazon,Phil Karlson,,,,,,,,,,,,,,,,,0
s747,amazon,Andrew Renzi,,,,,,,,,,,,,,,,,0
s748,amazon,Louise Osmond,,,,,,,,,,,,,,,,,0
s749,amazon,Ken Kwapis,,,,,,,,,,,,,,,,,0
s750,amazon,Don Coscarelli,,,,,,,,,,,,,,,,,0
s751,amazon,Malcolm Leo,,,,,,,,,,,,,,,,,0
s752,amazon,Rich Cowan,,,,,,,,,,,,,,,,,0
s753,amazon,Eran Kolirin,,,,,,,,,,,,,,,,,0
s757,amazon,Daniel Zirilli,,,,,,,,,,,,,,,,,0
s758,amazon,Mikkel Brænne Sandemose,,,,,,,,,,,,,,,,,0
s759,amazon,Josef Rusnak,,,,,,,,,,,,,,,,,0
s762,amazon,Ib Melchior,,,,,,,,,,,,,,,,,0
s763,amazon,Callie T. Wiser,,,,,,,,,,,,,,,,,0
s764,amazon,Joseph J Graber,,,,,,,,,,,,,,,,,0
s772,amazon,Alfred Zeisler,,,,,,,,,,,,,,,,,0
s774,amazon,John Huston,,,,,,,,,,,,,,,,,0
s775,amazon,Ralph Staub,,,,,,,,,,,,,,,,,0
s778,amazon,Albert S. Rogell,,,,,,,,,,,,,,,,,0
s780,amazon,Luis Libran, Carl June,,,,,,,,,,,,,,,,1
s781,amazon,Liu Chia-liang,,,,,,,,,,,,,,,,,0
s782,amazon,Ernst Lubitsc,,,,,,,,,,,,,,,,,0
s783,amazon,Damon Gameau,,,,,,,,,,,,,,,,,0
